SKU, TYPE, CATEGORY, SUBCATEGORY, NAME, DESCRIPTION, MRP, DISCOUNTRATE, TAXRATE, SHIPPINGCHARGES, STOCKLEVEL, ISREDUCESTOCK, ISACTIVE, ATTA, AUTHOR, BRAND, COLOR, DALDA, FLOUR, GRIHASTHI, OIL, PUBLISHER, PULSE, RICE, STYLE,,
sr0011,Grocery,Rice & other Grains,,India Gate Super Basmati Rice 1kg+250gm,"<div class='product-attributes' data-reactid='215'><div class='product-attributes__attr' data-reactid='216'><div class='product-attributes__attr--name' data-reactid='217'><strong><span data-reactid='218'>Description</span></strong></div></div><div class='product-attributes__attr' data-reactid='219'><div class='product-attributes__attr--description' data-reactid='220'>India Gate Super Basmati Rice are well known for their large kernels and special fragrance. The grains grow significantly after cooking giving the rice a rich visual appeal. Hot rice served with curries is a fulfilling meal.</div></div></div><div class='product-attributes' data-reactid='221'><div class='product-attributes__attr' data-reactid='222'><div class='product-attributes__attr--name' data-reactid='223'><span data-reactid='224'>Key Features</span></div></div><div class='product-attributes__attr' data-reactid='225'><div class='product-attributes__attr--description' data-reactid='226'>Large grains<br />Unique fragrance</div><div class='product-attributes__attr--description' data-reactid='226'>&nbsp;</div><div class='product-attributes__attr--description' data-reactid='226'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='227'><div class='product-attributes__attr' data-reactid='228'><div class='product-attributes__attr--name' data-reactid='229'><strong><span data-reactid='230'>Unit</span></strong></div></div><div class='product-attributes__attr' data-reactid='231'><div class='product-attributes__attr--description' data-reactid='232'>1 kg</div><div class='product-attributes__attr--description' data-reactid='232'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='233'><div class='product-attributes__attr' data-reactid='234'><div class='product-attributes__attr--name' data-reactid='235'><strong><span data-reactid='236'>Disclaimer</span></strong></div></div><div class='product-attributes__attr' data-reactid='237'><div class='product-attributes__attr--description' data-reactid='238'>Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.</div></div></div>",170,17.65,0,0,100,0,1, , , , , , , , , , , india gate basmati, ,,
sr0012,Grocery,Rice & other Grains,,"Fortune Super Basmati Rice, 1kg ","<p>Fortune super basmati rice has a pleasant aroma, rich flavour and high nutritive quality, everything to make your dish tasty, delicious and healthy. It cooks to perfection by becoming extra long without turning sticky. It is best used to prepare pulav, fried rice, risotto and paella.</p>",160,18.75,0,0,100,0,1, , , fortune, , , , , , , , , ,,
sr0013,Beverages,Tea & Cofee,,Tata Gold Tea (Pouch) 250gms,"<div class='product-attributes' data-reactid='231'><div class='product-attributes__attr' data-reactid='232'><div class='product-attributes__attr--name' data-reactid='233'><strong><span data-reactid='234'>Description</span></strong></div></div><div class='product-attributes__attr' data-reactid='235'><div class='product-attributes__attr--description' data-reactid='236'>Tata Tea Gold is a refreshing and unique blend of tea infused with fresh green tea leaves. Every sip unleashes a gentle aroma enriched with the goodness of nature.</div></div></div><div class='product-attributes' data-reactid='237'><div class='product-attributes__attr' data-reactid='238'><div class='product-attributes__attr--name' data-reactid='239'><span data-reactid='240'>Key Features</span></div></div><div class='product-attributes__attr' data-reactid='241'><div class='product-attributes__attr--description' data-reactid='242'>Rich aroma<br />Unique blend of tea infused with fresh green tea leaves</div></div></div><div class='product-attributes' data-reactid='243'><div class='product-attributes__attr' data-reactid='244'><div class='product-attributes__attr--name' data-reactid='245'><span data-reactid='246'>Ingredients</span></div></div><div class='product-attributes__attr' data-reactid='247'><div class='product-attributes__attr--description' data-reactid='248'>Tea Leaves</div><div class='product-attributes__attr--description' data-reactid='248'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='249'><div class='product-attributes__attr' data-reactid='250'><div class='product-attributes__attr--name' data-reactid='251'><strong><span data-reactid='252'>Unit</span></strong></div></div><div class='product-attributes__attr' data-reactid='253'><div class='product-attributes__attr--description' data-reactid='254'>250 gm</div><div class='product-attributes__attr--description' data-reactid='254'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='255'><div class='product-attributes__attr' data-reactid='256'><div class='product-attributes__attr--name' data-reactid='257'><strong><span data-reactid='258'>Packaging Type</span></strong></div></div><div class='product-attributes__attr' data-reactid='259'><div class='product-attributes__attr--description' data-reactid='260'>Pouch</div><div class='product-attributes__attr--description' data-reactid='260'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='261'><div class='product-attributes__attr' data-reactid='262'><div class='product-attributes__attr--name' data-reactid='263'><strong><span data-reactid='264'>Disclaimer</span></strong></div></div><div class='product-attributes__attr' data-reactid='265'><div class='product-attributes__attr--description' data-reactid='266'>Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.</div></div></div>",101,4.95,0,0,100,0,1, , , , , , , , , , , , ,,
sr0014,Beverages,Tea & Cofee,,Tata Premium Tea (Pouch) 250gms,"<div class='product-attributes' data-reactid='235'><div class='product-attributes__attr' data-reactid='236'><div class='product-attributes__attr--name' data-reactid='237'><strong><span data-reactid='238'>Description</span></strong></div></div><div class='product-attributes__attr' data-reactid='239'><div class='product-attributes__attr--description' data-reactid='240'>Tata Tea Premium Tea Pouch contains tea leaves which are highly flavourful and aromatic. Hand plucked tea leaves are blister packed to retain their taste and aroma of natural goodness.</div></div></div><div class='product-attributes' data-reactid='241'><div class='product-attributes__attr' data-reactid='242'><div class='product-attributes__attr--name' data-reactid='243'><span data-reactid='244'>Key Features</span></div></div><div class='product-attributes__attr' data-reactid='245'><div class='product-attributes__attr--description' data-reactid='246'>Aromatic tea<br />Excellent taste</div></div></div><div class='product-attributes' data-reactid='247'><div class='product-attributes__attr' data-reactid='248'><div class='product-attributes__attr--name' data-reactid='249'><span data-reactid='250'>Ingredients</span></div></div><div class='product-attributes__attr' data-reactid='251'><div class='product-attributes__attr--description' data-reactid='252'>Tea Leaves</div><div class='product-attributes__attr--description' data-reactid='252'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='253'><div class='product-attributes__attr' data-reactid='254'><div class='product-attributes__attr--name' data-reactid='255'><strong><span data-reactid='256'>Unit</span></strong></div></div><div class='product-attributes__attr' data-reactid='257'><div class='product-attributes__attr--description' data-reactid='258'>250 gm</div><div class='product-attributes__attr--description' data-reactid='258'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='259'><div class='product-attributes__attr' data-reactid='260'><div class='product-attributes__attr--name' data-reactid='261'><strong><span data-reactid='262'>Packaging Type</span></strong></div></div><div class='product-attributes__attr' data-reactid='263'><div class='product-attributes__attr--description' data-reactid='264'>Pouch</div><div class='product-attributes__attr--description' data-reactid='264'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='265'><div class='product-attributes__attr' data-reactid='266'><div class='product-attributes__attr--name' data-reactid='267'><strong><span data-reactid='268'>Disclaimer</span></strong></div></div><div class='product-attributes__attr' data-reactid='269'><div class='product-attributes__attr--description' data-reactid='270'>Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.</div></div></div>",90,5.56,0,0,100,0,1, , , , , , , , , , , , ,,
sr0015,Beverages,Tea & Cofee,,Brooke Bond Red Label Tea (pouch) 250gm,"<div class='product-attributes'><div class='product-attributes__attr'><div class='product-attributes__attr--name'><strong>Description</strong></div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>Brooke Bond Red Label is made from the best chosen leaves from Assam and is about the perfect tea taste. With healthy flavonoids, it is the best blend of teas with signature offerings that delight your senses. Made with a touch of your love, Brooke Bond Red Label celebrates the taste of togetherness.</div></div></div><div class='product-attributes'><div class='product-attributes__attr'><div class='product-attributes__attr--name'>Key Features</div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>Made from the best chosen leaves from Assam<br />Tasty &amp; healthy&nbsp;<br />With flavonoids<br />Has unique taste and red colour</div></div></div><div class='product-attributes'><div class='product-attributes__attr'><div class='product-attributes__attr--name'>Ingredients</div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>Tea Leaves</div><div class='product-attributes__attr--description'>&nbsp;</div></div></div><div class='product-attributes'><div class='product-attributes__attr'><div class='product-attributes__attr--name'><strong>Unit</strong></div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>250 gm</div><div class='product-attributes__attr--description'>&nbsp;</div></div></div><div class='product-attributes'><div class='product-attributes__attr'><div class='product-attributes__attr--name'><strong>Packaging Type</strong></div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>Pouch</div><div class='product-attributes__attr--description'>&nbsp;</div></div></div><div class='product-attributes'><div class='product-attributes__attr'><div class='product-attributes__attr--name'><strong>Disclaimer</strong></div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.</div></div></div>",90,4.44,0,0,100,0,1, , , , , , , , , , , , ,,
sr0016,Beverages,Tea & Cofee,,Nescafe Classic Coffee (Jar) 50gm,"<div class='product-attributes' data-reactid='232'><div class='product-attributes__attr' data-reactid='233'><div class='product-attributes__attr--name' data-reactid='234'><strong><span data-reactid='235'>Description</span></strong></div></div><div class='product-attributes__attr' data-reactid='236'><div class='product-attributes__attr--description' data-reactid='237'>The original blend of 100% pure coffee, Nescafe Classic Coffee is made from the finest coffee beans. Its distinctly rich flavour acts as the perfect fuel to kick start the day on an energetic note.</div></div></div><div class='product-attributes' data-reactid='238'><div class='product-attributes__attr' data-reactid='239'><div class='product-attributes__attr--name' data-reactid='240'><span data-reactid='241'>Key Features</span></div></div><div class='product-attributes__attr' data-reactid='242'><div class='product-attributes__attr--description' data-reactid='243'>100% pure coffee<br />Made with finest coffee beans</div></div></div><div class='product-attributes' data-reactid='244'><div class='product-attributes__attr' data-reactid='245'><div class='product-attributes__attr--name' data-reactid='246'><span data-reactid='247'>Ingredients</span></div></div><div class='product-attributes__attr' data-reactid='248'><div class='product-attributes__attr--description' data-reactid='249'>100% Coffee</div><div class='product-attributes__attr--description' data-reactid='249'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='250'><div class='product-attributes__attr' data-reactid='251'><div class='product-attributes__attr--name' data-reactid='252'><strong><span data-reactid='253'>Unit</span></strong></div></div><div class='product-attributes__attr' data-reactid='254'><div class='product-attributes__attr--description' data-reactid='255'>100 gm</div><div class='product-attributes__attr--description' data-reactid='255'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='256'><div class='product-attributes__attr' data-reactid='257'><div class='product-attributes__attr--name' data-reactid='258'><strong><span data-reactid='259'>Packaging Type</span></strong></div></div><div class='product-attributes__attr' data-reactid='260'><div class='product-attributes__attr--description' data-reactid='261'>Jar</div><div class='product-attributes__attr--description' data-reactid='261'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='262'><div class='product-attributes__attr' data-reactid='263'><div class='product-attributes__attr--name' data-reactid='264'><strong><span data-reactid='265'>Disclaimer</span></strong></div></div><div class='product-attributes__attr' data-reactid='266'><div class='product-attributes__attr--description' data-reactid='267'>Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.</div></div></div>",155,2.58,0,0,100,0,1, , , , , , , , , , , , ,,
sr0017,Beverages,Tea & Cofee,,Nescafe Classic Coffee (Jar) 25gm,"<div class='product-attributes__header'>&nbsp;</div><div><div class='product-attributes product-attributes--additional-properties animated fadeIn remove-max-height'><div class='product-attributes'><div class='product-attributes__attr'><div class='product-attributes__attr--name'><strong>Description</strong></div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>The original blend of 100% pure coffee, Nescafe Classic Coffee is made from the finest coffee beans. Its distinctly rich flavour acts as the perfect fuel to kick start the day on an energetic note.</div></div></div><div class='product-attributes'><div class='product-attributes__attr'><div class='product-attributes__attr--name'>Key Features</div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>100% pure coffee<br />Made with finest coffee beans</div></div></div><div class='product-attributes'><div class='product-attributes__attr'><div class='product-attributes__attr--name'>Ingredients</div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>100% Coffee</div><div class='product-attributes__attr--description'>&nbsp;</div></div></div><div class='product-attributes'><div class='product-attributes__attr'><div class='product-attributes__attr--name'><strong>Unit</strong></div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>50 gm</div><div class='product-attributes__attr--description'>&nbsp;</div></div></div><div class='product-attributes'><div class='product-attributes__attr'><div class='product-attributes__attr--name'><strong>Packaging Type</strong></div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>Jar</div><div class='product-attributes__attr--description'>&nbsp;</div></div></div><div class='product-attributes'><div class='product-attributes__attr'><div class='product-attributes__attr--name'><strong>Disclaimer</strong></div></div><div class='product-attributes__attr'><div class='product-attributes__attr--description'>Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.</div></div></div></div></div>",80,3.75,0,0,100,0,1, , , , , , , , , , , , ,,
sr0018,Beverages,Dairy Whitener,,Nestle Everyday Dairy Whitener 200gms,"<div class='product-attributes' data-reactid='219'><div class='product-attributes__attr' data-reactid='220'><div class='product-attributes__attr--name' data-reactid='221'><strong><span data-reactid='222'>Description</span></strong></div></div><div class='product-attributes__attr' data-reactid='223'><div class='product-attributes__attr--description' data-reactid='224'>Enjoy a thick, milky, tasty cup of tea or coffee with Nestle Everyday Dairy Whitener. A versatile ingredient, it is ideal for preparing sweets, curd, cakes and other milk based dishes.</div></div></div><div class='product-attributes' data-reactid='225'><div class='product-attributes__attr' data-reactid='226'><div class='product-attributes__attr--name' data-reactid='227'><span data-reactid='228'>Key Features</span></div></div><div class='product-attributes__attr' data-reactid='229'><div class='product-attributes__attr--description' data-reactid='230'>Dairy whitener<br />Ideal for preparing milk based dishes</div></div></div><div class='product-attributes' data-reactid='231'><div class='product-attributes__attr' data-reactid='232'><div class='product-attributes__attr--name' data-reactid='233'><span data-reactid='234'>Ingredients</span></div></div><div class='product-attributes__attr' data-reactid='235'><div class='product-attributes__attr--description' data-reactid='236'>Partly Skimmed Milk Powder and Sugar</div><div class='product-attributes__attr--description' data-reactid='236'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='237'><div class='product-attributes__attr' data-reactid='238'><div class='product-attributes__attr--name' data-reactid='239'><strong><span data-reactid='240'>Unit</span></strong></div></div><div class='product-attributes__attr' data-reactid='241'><div class='product-attributes__attr--description' data-reactid='242'>200 gm</div><div class='product-attributes__attr--description' data-reactid='242'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='243'><div class='product-attributes__attr' data-reactid='244'><div class='product-attributes__attr--name' data-reactid='245'><strong><span data-reactid='246'>Disclaimer</span></strong></div></div><div class='product-attributes__attr' data-reactid='247'><div class='product-attributes__attr--description' data-reactid='248'>Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.</div></div></div>",86,2.33,0,0,100,0,1, , , , , , , , , , , , ,,
sr0019,Beverages,Dairy Whitener,,Nestle Everyday Dairy Whitener 400gms,"<div class='product-attributes' data-reactid='219'><div class='product-attributes__attr' data-reactid='220'><div class='product-attributes__attr--name' data-reactid='221'><strong><span data-reactid='222'>Description</span></strong></div></div><div class='product-attributes__attr' data-reactid='223'><div class='product-attributes__attr--description' data-reactid='224'>Enjoy a thick, milky, tasty cup of tea or coffee with Nestle Everyday Dairy Whitener. A versatile ingredient, it is ideal for preparing sweets, curd, cakes and other milk based dishes.</div></div></div><div class='product-attributes' data-reactid='225'><div class='product-attributes__attr' data-reactid='226'><div class='product-attributes__attr--name' data-reactid='227'><span data-reactid='228'>Key Features</span></div></div><div class='product-attributes__attr' data-reactid='229'><div class='product-attributes__attr--description' data-reactid='230'>Dairy whitener<br />Ideal for preparing milk based dishes</div></div></div><div class='product-attributes' data-reactid='231'><div class='product-attributes__attr' data-reactid='232'><div class='product-attributes__attr--name' data-reactid='233'><span data-reactid='234'>Ingredients</span></div></div><div class='product-attributes__attr' data-reactid='235'><div class='product-attributes__attr--description' data-reactid='236'>Partly Skimmed Milk Powder and Sugar</div><div class='product-attributes__attr--description' data-reactid='236'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='237'><div class='product-attributes__attr' data-reactid='238'><div class='product-attributes__attr--name' data-reactid='239'><strong><span data-reactid='240'>Unit</span></strong></div></div><div class='product-attributes__attr' data-reactid='241'><div class='product-attributes__attr--description' data-reactid='242'>400 gm</div><div class='product-attributes__attr--description' data-reactid='242'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='243'><div class='product-attributes__attr' data-reactid='244'><div class='product-attributes__attr--name' data-reactid='245'><strong><span data-reactid='246'>Disclaimer</span></strong></div></div><div class='product-attributes__attr' data-reactid='247'><div class='product-attributes__attr--description' data-reactid='248'>Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.</div></div></div>",169,2.37,0,0,100,0,1, , , , , , , , , , , , ,,
sr0020,Beverages,Dairy Whitener,,Nestle Everyday Dairy Whitener 1Kg,"<div class='product-attributes' data-reactid='219'><div class='product-attributes__attr' data-reactid='220'><div class='product-attributes__attr--name' data-reactid='221'><strong><span data-reactid='222'>Description</span></strong></div></div><div class='product-attributes__attr' data-reactid='223'><div class='product-attributes__attr--description' data-reactid='224'>Enjoy a thick, milky, tasty cup of tea or coffee with Nestle Everyday Dairy Whitener. A versatile ingredient, it is ideal for preparing sweets, curd, cakes and other milk based dishes.</div></div></div><div class='product-attributes' data-reactid='225'><div class='product-attributes__attr' data-reactid='226'><div class='product-attributes__attr--name' data-reactid='227'><span data-reactid='228'>Key Features</span></div></div><div class='product-attributes__attr' data-reactid='229'><div class='product-attributes__attr--description' data-reactid='230'>Dairy whitener<br />Ideal for preparing milk based dishes</div></div></div><div class='product-attributes' data-reactid='231'><div class='product-attributes__attr' data-reactid='232'><div class='product-attributes__attr--name' data-reactid='233'><span data-reactid='234'>Ingredients</span></div></div><div class='product-attributes__attr' data-reactid='235'><div class='product-attributes__attr--description' data-reactid='236'>Partly Skimmed Milk Powder and Sugar</div><div class='product-attributes__attr--description' data-reactid='236'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='237'><div class='product-attributes__attr' data-reactid='238'><div class='product-attributes__attr--name' data-reactid='239'><strong><span data-reactid='240'>Unit</span></strong></div></div><div class='product-attributes__attr' data-reactid='241'><div class='product-attributes__attr--description' data-reactid='242'>1Kg</div><div class='product-attributes__attr--description' data-reactid='242'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='243'><div class='product-attributes__attr' data-reactid='244'><div class='product-attributes__attr--name' data-reactid='245'><strong><span data-reactid='246'>Disclaimer</span></strong></div></div><div class='product-attributes__attr' data-reactid='247'><div class='product-attributes__attr--description' data-reactid='248'>Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.</div></div></div>",413,2.42,0,0,100,0,1, , , , , , , , , , , , ,,
sr0021,Grocery,Edible Oils,,Fortune Mustard Oil (Bottle) 500ml,"<div class='product-attributes' data-reactid='236'><div class='product-attributes__attr' data-reactid='237'><div class='product-attributes__attr--name' data-reactid='238'><strong><span data-reactid='239'>Description</span></strong></div></div><div class='product-attributes__attr' data-reactid='240'><div class='product-attributes__attr--description' data-reactid='241'>Fortune Kachi Ghani Pure Mustard Edible Oil is made from the first press of mustard seeds. Traditionally prepared, the strong aroma and taste of mustard oil adds an authentic flavour to curries and vegetables. Additionally, it helps in keeping the pickles fresh for a long duration and is great for deep frying.</div></div></div><div class='product-attributes' data-reactid='242'><div class='product-attributes__attr' data-reactid='243'><div class='product-attributes__attr--name' data-reactid='244'><span data-reactid='245'>Key Features</span></div></div><div class='product-attributes__attr' data-reactid='246'><div class='product-attributes__attr--description' data-reactid='247'>Enhances the taste of the food<br />Traditionally prepared</div></div></div><div class='product-attributes' data-reactid='248'><div class='product-attributes__attr' data-reactid='249'><div class='product-attributes__attr--name' data-reactid='250'><span data-reactid='251'>Ingredients</span></div></div><div class='product-attributes__attr' data-reactid='252'><div class='product-attributes__attr--description' data-reactid='253'>Mustard Oil</div></div></div><div class='product-attributes' data-reactid='254'><div class='product-attributes__attr' data-reactid='255'><div class='product-attributes__attr--name' data-reactid='256'><span data-reactid='257'>Contents</span></div></div><div class='product-attributes__attr' data-reactid='258'><div class='product-attributes__attr--description' data-reactid='259'>Fortune Kachi Ghani Pure Mustard (Bottle) Edible Oil - 500ml</div><div class='product-attributes__attr--description' data-reactid='259'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='260'><div class='product-attributes__attr' data-reactid='261'><div class='product-attributes__attr--name' data-reactid='262'><strong><span data-reactid='263'>Unit</span></strong></div></div><div class='product-attributes__attr' data-reactid='264'><div class='product-attributes__attr--description' data-reactid='265'>500ml</div><div class='product-attributes__attr--description' data-reactid='265'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='266'><div class='product-attributes__attr' data-reactid='267'><div class='product-attributes__attr--name' data-reactid='268'><strong><span data-reactid='269'>Packaging Type</span></strong></div></div><div class='product-attributes__attr' data-reactid='270'><div class='product-attributes__attr--description' data-reactid='271'>Bottle</div><div class='product-attributes__attr--description' data-reactid='271'>&nbsp;</div></div></div><div class='product-attributes' data-reactid='272'><div class='product-attributes__attr' data-reactid='273'><div class='product-attributes__attr--name' data-reactid='274'><strong><span data-reactid='275'>Disclaimer</span></strong></div></div><div class='product-attributes__attr' data-reactid='276'><div class='product-attributes__attr--description' data-reactid='277'>Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.</div></div></div>",74,25.68,0,0,100,0,1, , , , , , , , kachi ghani, , , , ,,
sr0022,Grocery,Edible Oils,,Hathi Kacchi Ghani Mustard Oil 1 Litre pouch,"<div id='importantInformation'><div class='bucket'><div class='content'><h5>Ingredients:</h5>Mustard Oil</div><div class='content'>&nbsp;</div><div class='content'><strong>Unit</strong></div><div class='content'>1ltr<br /><br /><h5>Legal Disclaimer:</h5>Best before NINE months from the date of packaging<br /><br />While we work to ensure that product information is correct, on occasion manufacturers may alter their ingredient lists. Actual product packaging and materials may contain more and/or different information than that shown on our web site. We recommend that you do not solely rely on the information presented and that you always read labels, warnings, and directions before using or consuming a product. For additional information about a product, please contact the manufacturer.</div></div></div><div id='descriptionAndDetails' class='a-section a-spacing-extra-large'><div id='productDescription_feature_div' class='feature' data-feature-name='productDescription'><div id='productDescription_feature_div' class='a-row feature' data-feature-name='productDescription' data-template-name='productDescription'><div class='a-divider a-divider-section'>&nbsp;</div><h2 class='default'>Product description</h2><div id='productDescription' class='a-section a-spacing-small'><p>'Hathi Brand' Mustard Oil Is Manufactured From A Select Variety Of Carefully Sourced Mustard Seeds. Crushing The Seeds In A Traditional Yet Modernised 'Bengal Kohlu' At Controlled Temperatures Help To Retain High Pungency, Flavours And Natural Properties Of The Oil Thus Enhancing The Taste Of Food That Is Cooked In It. This Is One Oil That Is Good For You And Is Highly Prefered For Healthy Dishes. It Is The Perfect Choice For Pickles And A Host Of Indian Delicacies. One Of The Best Cooking Oils In The Market. Cholesterol And Trans-Fat Free, Low In Saturated Fats And High In Monounsaturated Fat (Mufa) And Polyunsaturated Fat (Pufa). Can Reduce The Risk Of Heart Diseases By Over 70% Recommended For Diabetics. Free From Argemone Oil.</p></div></div></div></div>",140,25,0,0,100,0,1, , , , , , , , , , , , ,,
sr0023,Grocery,Edible Oils,,Hathi Kacchi Ghani Mustard Oil 500ml ,"<div id='importantInformation'><div class='bucket'><div class='content'><h5>Ingredients:</h5>Mustard Oil</div><div class='content'>&nbsp;</div><div class='content'><strong>Unit</strong></div><div class='content'>500ml<br /><br /><h5>Legal Disclaimer:</h5>Best before NINE months from the date of packaging<br /><br />While we work to ensure that product information is correct, on occasion manufacturers may alter their ingredient lists. Actual product packaging and materials may contain more and/or different information than that shown on our web site. We recommend that you do not solely rely on the information presented and that you always read labels, warnings, and directions before using or consuming a product. For additional information about a product, please contact the manufacturer.</div></div></div><div id='descriptionAndDetails' class='a-section a-spacing-extra-large'><div id='productDescription_feature_div' class='feature' data-feature-name='productDescription'><div id='productDescription_feature_div' class='a-row feature' data-feature-name='productDescription' data-template-name='productDescription'><div class='a-divider a-divider-section'>&nbsp;</div><h2 class='default'>Product description</h2><div id='productDescription' class='a-section a-spacing-small'><p>'Hathi Brand' Mustard Oil Is Manufactured From A Select Variety Of Carefully Sourced Mustard Seeds. Crushing The Seeds In A Traditional Yet Modernised 'Bengal Kohlu' At Controlled Temperatures Help To Retain High Pungency, Flavours And Natural Properties Of The Oil Thus Enhancing The Taste Of Food That Is Cooked In It. This Is One Oil That Is Good For You And Is Highly Prefered For Healthy Dishes. It Is The Perfect Choice For Pickles And A Host Of Indian Delicacies. One Of The Best Cooking Oils In The Market. Cholesterol And Trans-Fat Free, Low In Saturated Fats And High In Monounsaturated Fat (Mufa) And Polyunsaturated Fat (Pufa). Can Reduce The Risk Of Heart Diseases By Over 70% Recommended For Diabetics. Free From Argemone Oil.</p></div></div></div></div>",72,23.61,0,0,100,0,1, , , , , , , , kachi ghani, , , , ,,
sr0024,Grocery,Edible Oils,,saloni mustard oil 500ml,<p>saloni mustard oil 500ml</p>,58,13.79,0,0,100,0,1, , , , , , , , kachi ghani, , , , ,,
sr0025,Grocery,Edible Oils,,saloni mustard oil 1ltr,<p>saloni mustard oil 1ltr</p>,110,9.09,0,0,100,0,1, , , , , , , , , , , , ,,
sr0026,Grocery,Edible Oils,,Saloni Mustard Oil 500ml(Bottle),<p>Saloni Mustard Oil 500ml(Bottle)</p>,59.5,7.56,0,0,100,0,1, , , , , , , , , , , , ,,
sr0027,Grocery,Edible Oils,,Saloni Mustard Oil 200ml(Bottle),<p>Saloni Mustard Oil 200ml(Bottle)</p>,34,26.47,0,0,100,0,1, , , , , , , , kachi ghani, , , , ,,
